wall_s,step,updates,sps,reward,done_rate,clear_rate,n_clear,n_death,n_timeout,n_ep_window
246.9,399360,195,1593,0.1275,0.6406,1.0000,727,0,0,727
248.2,401408,196,1538,0.1300,0.6562,1.0000,716,0,0,716
249.5,403456,197,1679,0.1390,0.7031,1.0000,717,0,0,717
250.6,405504,198,1737,0.1313,0.6562,1.0000,709,0,0,709
251.9,407552,199,1583,0.1376,0.7031,1.0000,701,0,0,701
253.3,409600,200,1556,0.1458,0.7344,1.0000,701,0,0,701
254.6,411648,201,1552,0.1185,0.5938,1.0000,687,0,0,687
255.8,413696,202,1606,0.1389,0.7188,0.9985,684,0,1,685
257.2,415744,203,1558,0.1366,0.6875,0.9985,687,0,1,688
258.3,417792,204,1789,0.1388,0.7031,0.9986,689,0,1,690
259.4,419840,205,1873,0.1303,0.6719,0.9971,694,0,2,696
260.6,421888,206,1734,0.1418,0.7500,0.9943,702,0,4,706
261.9,423936,207,1577,0.1498,0.7500,0.9943,703,0,4,707
263.2,425984,208,1571,0.1544,0.7812,0.9944,709,0,4,713
264.2,428032,209,1974,0.1543,0.7812,0.9945,718,0,4,722
265.5,430080,210,1618,0.1565,0.7969,0.9945,725,0,4,729
266.6,432128,211,1819,0.1527,0.7656,0.9946,736,0,4,740
267.8,434176,212,1655,0.1370,0.6875,0.9946,740,0,4,744
269.1,436224,213,1622,0.1756,0.9062,0.9947,753,0,4,757
270.2,438272,214,1833,0.1442,0.7188,0.9948,761,0,4,765
271.5,440320,215,1604,0.1479,0.7500,0.9948,760,0,4,764
272.7,442368,216,1764,0.1616,0.8281,0.9949,778,0,4,782
273.9,444416,217,1721,0.1384,0.6875,0.9949,787,0,4,791
275.0,446464,218,1756,0.1545,0.7812,0.9962,794,0,3,797
276.3,448512,219,1571,0.1531,0.7812,0.9963,800,0,3,803
277.5,450560,220,1699,0.1561,0.7969,0.9963,807,0,3,810
278.8,452608,221,1641,0.1499,0.7500,0.9975,804,0,2,806
280.1,454656,222,1596,0.1640,0.8438,0.9975,813,0,2,815
281.3,456704,223,1595,0.1586,0.7969,1.0000,815,0,0,815
282.7,458752,224,1570,0.1486,0.7500,1.0000,815,0,0,815
283.9,460800,225,1683,0.1771,0.9062,1.0000,816,0,0,816
285.1,462848,226,1704,0.1593,0.7969,1.0000,815,0,0,815
286.4,464896,227,1598,0.1706,0.8750,1.0000,817,0,0,817
287.7,466944,228,1575,0.1559,0.7812,1.0000,817,0,0,817
288.9,468992,229,1677,0.1601,0.8125,1.0000,819,0,0,819
290.2,471040,230,1607,0.1580,0.7969,1.0000,815,0,0,815
291.4,473088,231,1606,0.1572,0.7969,1.0000,818,0,0,818
292.6,475136,232,1701,0.1595,0.8125,1.0000,817,0,0,817
293.9,477184,233,1631,0.1584,0.7969,1.0000,824,0,0,824
295.1,479232,234,1621,0.1382,0.7031,1.0000,812,0,0,812
296.4,481280,235,1601,0.1683,0.8594,1.0000,820,0,0,820
297.7,483328,236,1570,0.1431,0.7188,1.0000,815,0,0,815
299.3,485376,237,1314,0.1593,0.8125,1.0000,800,0,0,800
300.6,487424,238,1577,0.1473,0.7344,1.0000,794,0,0,794
301.9,489472,239,1612,0.1678,0.8594,1.0000,801,0,0,801
303.1,491520,240,1608,0.1565,0.7969,1.0000,795,0,0,795
304.4,493568,241,1653,0.1484,0.7500,1.0000,790,0,0,790
305.7,495616,242,1556,0.1567,0.7969,1.0000,787,0,0,787
307.0,497664,243,1617,0.1635,0.8281,1.0000,787,0,0,787
308.3,499712,244,1575,0.1443,0.7188,1.0000,778,0,0,778
309.6,501760,245,1571,0.1556,0.7969,1.0000,775,0,0,775
310.9,503808,246,1568,0.1576,0.7969,1.0000,772,0,0,772
312.2,505856,247,1547,0.1352,0.6719,1.0000,757,0,0,757
